Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity
Coca Cola 300Ml,Beverages,TY00147,90338052,300ml,4.42,13.2075,5,,1,0,1,0,1,,-4
Coca Cola 1.5L,Beverages,TY00148,5449000000439,1.5l,0,0,20,,1,0,1,0,1,,-7
Fanta 1.5L,Beverages,TY00149,5449000234261,1.5l,16.17,23.6858,20,,1,0,1,0,1,,-1
Malta Guinness Cans 330Ml,Beverages,TY00150,,330ml,0,0,7,,1,0,1,0,0,,0
Malta Guinness Pet 350Ml,Beverages,TY00151,,350ml,0,0,7,,1,0,1,0,0,,0
Bel Malt 350Ml,Beverages,TY00152,,350ml,0,0,3.5,,1,0,1,0,0,,0
Appela 300Ml,Beverages,TY00153,,300ml,0,0,2,,1,0,1,0,0,,0
Bel Energy (Boss) 300Ml,Beverages,TY00154,,300ml,0,0,2.5,,1,0,1,0,0,,0
Bel Soda 350Ml,Beverages,TY00155,,350ml,0,0,2,,1,0,1,0,0,,0
Bel-Aqua Medium 750Ml,Beverages,TY00156,,750ml,0,0,3,,1,0,1,0,0,,0
Bel-Aqua Small 500Ml,Beverages,TY00157,,500ml,0,0,2,,1,0,1,0,0,,0
Fanta 300Ml,Beverages,TY00158,90377235,300ml,3.46,44.5087,5,,1,0,1,0,1,,-5
Spar-Leta Tonic Pet 350Ml,Beverages,TY00159,5449000232731,350ml,0,0,5,,1,0,1,0,1,,0
Spar-Leta Soda Pet 350Ml,Beverages,TY00160,5449000232755,350ml,3.46,0,5,,1,0,1,0,1,,-1
Spar-Leta Orange Pet 350Ml,Beverages,TY00161,,350ml,0,0,5,,1,0,1,0,1,,0
Schweppes Citrus Pet 350Ml,Beverages,TY00162,54011397,350ml,2.02,13.2067,5,,1,0,1,0,1,,-2
Predator 350Ml,Beverages,TY00163,,350ml,2.127272727,0,5,,1,0,1,0,1,,0
Fanta Cans 330Ml,Beverages,TY00164,5449000011527,330ml,0,0,7,,1,0,1,0,1,,0
Sprite Cans 330Ml,Beverages,TY00165,5449000014535,330ml,0,0,7,,1,0,1,0,1,,0
Voltic Water Small 500Ml,Beverages,TY00166,,500ml,1.54,29.8701,2,,1,0,1,0,1,,0
Voltic Water Medium 750Ml,Beverages,TY00167,,750ml,2.09,43.5407,3,,1,0,1,0,1,,0
Storm Energy Pet 350Ml,Beverages,TY00168,,350ml,0,0,2.5,,1,0,1,0,0,,0
Rush 350Ml,Beverages,TY00169,,350ml,0,0,2.5,,1,0,1,0,0,,0
Vimto Pet 300Ml,Beverages,TY00170,,300ml,0,0,3,,1,0,1,0,0,,0
Chicken Thighs Soft(Broilers),Meat\Fish,TY00171,,1kg,26.51,5.6205,28,,1,0,1,0,1,,-25.0000000000001
Boneless Beef,Meat\Fish,TY00172,,1kg,56,25,70,,1,0,1,0,1,,-15.6
Beef(Boned),Meat\Fish,TY00173,,1kg,0,0,38,,1,0,1,0,0,,0
Goat Meat,Meat\Fish,TY00174,,kg,70,28.5714,90,,1,0,1,1,1,,0
Pork - Local,Meat\Fish,TY00175,,1kg,55,0,55,,1,0,1,0,1,,-46.6
Chicken Layer Thigh Hard,Meat\Fish,TY00176,,kg,30.79,3.9298,32,,1,0,1,0,1,,-78
Drumstick,Meat\Fish,TY00177,,kg,27,25.9259,34,,1,0,1,0,1,,-25
Chicken Wings Hard,Meat\Fish,TY00178,,kg,33,3.0303,34,,1,0,1,0,1,,-42
Chicken Wings Soft,Meat\Fish,TY00179,,kg,22.96,48.0836,34,,1,0,1,0,1,,0
Cvale Gizzard,Meat\Fish,TY00180,7896295302423,kg,27,11.1111,30,,1,0,1,0,1,,-33
Chicken Back,Meat\Fish,TY00181,,kg,19,15.7895,22,,1,0,1,0,1,,-32
Kpanla 16+,Meat\Fish,TY00182,,kg,24,25,30,,1,0,1,0,1,,-40
Kpanla 20+,Meat\Fish,TY00343,,kg,31.6,10.7595,35,,1,0,1,0,1,,-2.5
Red Fish Small,Meat\Fish,TY00183,,kg,0,0,38,,1,0,1,0,1,,-5.5
Cassava Fish,Meat\Fish,TY00184,,kg,42,7.1429,45,,1,0,1,0,1,,-4.49999999999999
Salmon,Meat\Fish,TY00185,,kg,0,0,25,,1,0,1,0,0,,0
Amah,Meat\Fish,TY00186,,kg,0,0,25,,1,0,1,0,0,,0
Chicken Breast  1kg,Meat\Fish,TY00187,,kg,45,11.1111,50,,1,0,1,0,1,,0
Cow Leg Kotodwe,Meat\Fish,TY00188,,kg,24,8.3333,26,,1,0,1,0,1,,-17
Pork Feet,Meat\Fish,TY00189,,kg,26,7.6923,28,,1,0,1,0,1,,-2.22044604925E-16
Beef Tripe (Intestines)  Yemad3E,Meat\Fish,TY00190,,kg,24,16.6667,28,,1,0,1,0,1,,-2
Full Whole Chicken [rplc,Meat\Fish,TY00191,,kg,0,0,380,,1,0,1,0,0,,0
Doux,Meat\Fish,TY00192,,kg,0,0,12,,1,0,1,0,0,,0
Seara Sausage,Meat\Fish,TY00193,,pcs,13.5,11.1111,15,,1,0,1,0,1,,0
Sadia Sausage,Meat\Fish,TY00194,7893000050785,pcs,14,10.7143,15.5,,1,0,1,0,1,,-34
Chicken Legs (Feet),Meat\Fish,TY00195,,kg,23,21.7391,28,,1,0,1,0,1,,-3.5
Turkey Wings,Meat\Fish,TY00196,,kg,40,12.5,45,,1,0,1,0,1,,-9
Goat Head And Leg,Meat\Fish,TY00197,,kg,0,0,45,,1,0,1,0,1,,0
Goat Tripe Intestines,Meat\Fish,TY00198,,kg,0,0,40,,1,0,1,0,0,,0
Beef Sinews Ntini [Veins],Meat\Fish,TY00199,,kg,32,9.375,35,,1,0,1,0,1,,-2.00000000000001
Facemask (Cow Face),Meat\Fish,TY00200,,kg,32.5,4.6154,34,,1,0,1,0,1,,0
Yellow Tail,Meat\Fish,TY00201,,kg,19.72,62.2718,32,,1,0,1,0,1,,-0.500000000000004
Beef Sausage - Seara,Meat\Fish,TY00341,,kg,0,0,16,,1,0,1,0,1,,0
Beef Sausage - Sadia,Meat\Fish,TY00202,,kg,0,0,18,,1,0,1,0,1,,0
Amani,Meat\Fish,TY00203,,kg,0,0,24,,1,0,1,0,1,,-31
Turkey Tail,Meat\Fish,TY00204,,kg,0,0,50,,1,0,1,0,1,,8.881784197001E-16
Turkey Tips,Meat\Fish,TY00340,,kg,32.41841004,0,40,,1,0,1,0,1,,0
Local Salmon,Meat\Fish,TY00342,,kg,23.62453949,35.4784,32,,1,0,1,0,1,,-1.7763568394003E-15
Boerewors Sausage,Meat\Fish,TY00205,,kg,0,0,0,,1,0,1,0,0,,0
Hake [Ama],Meat\Fish,TY00206,,kg,32,9.375,35,,1,0,1,0,1,,-4.99999999999999
Special Rice 25kg,Rice,TY00207,,25kg,335,4.4776,350,,1,0,1,0,1,,0
Gino Pepper & Onion 60G,Tomato Paste,TY00208,8410300361435,sachet,0,0,2.2,,1,0,1,0,1,,-18
Chanel Rice 4.5kgx5,Rice,TY00209,,5x4.5kg,325,6.1538,345,,1,0,1,0,1,,-4
Chanel Rice 25kg,Rice,TY00210,,25kg,322,6.2112,342,,1,0,1,0,1,,-2
Peacock Rice 5X5kg,Rice,TY00211,,25kg,555,6.3063,590,,1,0,1,0,1,,-2
Viking 25Ltr Oil,Oil,TY00212,,25l,0,0,460,,1,0,1,0,1,,0
Sugar Morocco  Olonka 3kg,Sugar,TY00214,,2kg,0,0,40,,1,0,1,0,1,,-10
Wofa Stew Spice,Spices,TY00215,,pcs,0,0,0.6,,1,0,1,0,1,,0
Cindy Rice 5kg,Rice,TY00216,,5kg,74,4.0541,77,,1,0,1,0,1,,-4
[rplc,Indomie,TY00218,,box,0,0,96,,1,0,1,0,0,,0
Indomie Onion  Box,Indomie,TY00251,,box,0,0,96,,1,0,1,0,0,,0
Indomie Super Full Box Small,Indomie,TY00219,,box,0,0,102,,1,0,1,0,0,,0
Vega Tomato Paste Sachet,Tomato Paste,TY00220,,sachet,0,0,3,,1,0,1,0,1,,0
Hot & Spicy Sausage,Meat\Fish,TY00221,,1kg,0,0,20,,1,0,1,0,1,,0
Pig Head (Pork),Meat\Fish,TY00222,,kg,0,0,35,,1,0,1,0,1,,-4
Gino Tomato Tin 210G,Tomato Paste,TY00223,,tin,0,0,7,,1,0,1,0,1,,0
