Product,Code,MeasurementUnit,Price,Cost,ProductGroup
Fanta Cocktail 1.5l,TY00884,,20,0,Beverages
unoli sunflower 900ml,TY00887,,540,0,Oil
lele sunflower 1litre,TY00886,,400,0,Oil
Abidjan Salmon Large,TY00888,,40,0,Meat\Fish
Vatkum Shitor 500ml,TY00890,,80,80,External
Remie Stew 10g,TY00891,,1,0,Spices
Sankofa Chicken & Beef 5g,TY00892,,0.8,0,Spices
Sankofa Noodles & Spaghetti,TY00893,,0.8,0,Spices
A-One Tied,TY00894,,5,0,Spices
Jago,TY00895,,40,0,Ketchup\Mayonnaise\Baked Beans
Unoli Soyabean 5l,TY00896,,205,0,Oil
Coca-Cola Zero Can,TY00897,,7,0,Beverages
