Product,Code,MeasurementUnit,Price,Cost,ProductGroup
Chanel Gold 5X5kg,TY00337,5x5kg,345,325,Rice
Lyzy 2.2 Paste,TY00296,tin,23,0,Tomato Paste
Lele Sardine,TY00261,pcs,9,8,Sardine
Medaase Spag 435G,TY00272,pcs,8,6.75,Spaghetti
Angelina Macaroni,TY00263,pcs,6.5,0,Spaghetti
Abena Beef Pate,TY00264,pcs,14.5,0,Ketchup\Mayonnaise\Baked Beans
Lele Beef Pate,TY00265,pcs,14.5,0,Ketchup\Mayonnaise\Baked Beans
Tilemsi,TY00266,5x5kg,600,0,Rice
Unoli Soya Oil 1L,TY00355,1l,42,39.17,Oil
Abena Rice 4.5kgx5,TY00250,5x4.5kg,365,345,Rice
Kpanla 25+,TY00259,kg,38,34,Meat\Fish
Chicken Broiler Carton Holland Mountaire,TY00260,10kg,290,270,Meat\Fish
Gino 210G Box,TY00262,box,155,0,Tomato Paste
Full Chicken Box,TY00268,10kg,380,340,Meat\Fish
Full Chicken Med,TY00269,1kg,38,0,Meat\Fish
Fanta Lemon 300Ml,TY00270,300ml,5,3.46,Beverages
Fanta Cocktail 30Cl,TY00271,30cl,5,3.46,Beverages
Onga Jollof,TY00273,pcs,2,0,Spices
Kpanla 14+ Box 10kg,TY00276,carton,270,250,Meat\Fish
Full Chicken Small,TY00277,pcs,38,36,Meat\Fish
Gino Tomato Paste 380G,TY00278,sachet,9.5,8.96,Tomato Paste
Gino Tomato Paste 1.05kg,TY00279,sachet,23,21.92,Tomato Paste
Kivo Tomato Paste 400G,TY00290,sachet,8.5,7.397260274,Tomato Paste
Lele Oil 5L,TY00339,5l,255,0,Oil
Viva 22.5 kg,TY00280,22.5kg,370,0,Rice
Tasty Tom 65g Box,TY00338,box,104,94.5,Tomato Paste
Chicken Layer Box,TY00281,carton,310,285,Meat\Fish
Red Fish Box,TY00282,carton,440,0,Meat\Fish
Fortune Delicious,TY00283,5kg,48,0,Rice
Frytol 2L,TY00284,2l,65,59,Oil
Google Rice,TY00285,45kg,630,0,Rice
Chicken Back Box,TY00295,carton,200,184,Meat\Fish
Fortune Green 25kg,TY00286,25kg,390,0,Rice
Kpanla 20+ Box 10kg,TY00287,carton,340,255,Meat\Fish
Kpanla 16+ Box 10kg,TY00288,carton,290,250,Meat\Fish
Red Fish Small Box,TY00315,carton,370,340,Meat\Fish
Viking 5L,TY00289,5l,135,0,Oil
Vega Rice 5kg,TY00291,5kg,48,0,Rice
Miss U Viet 4.5kg Rice,TY00354,4.5kg,67,64,Rice
Lamore 2.2kg,TY00353,pcs,35,29.17,Tomato Paste
Abba 5kg Rice,TY00351,5kg,105,0,Rice
Royal Aroma 5X5kg,TY00300,5x5kg,385,365,Rice
Anna 25L,TY00301,25l,470,0,Oil
Tasty Tom Jollof 1.1kg,TY00302,sachet,22.5,0,Tomato Paste
Salmon Abidjan,TY00294,kg,38,35.5,Meat\Fish
Waakye Rice Olonka,TY00293,olonka,20,0,Rice
Kivo Tomato Paste 1kg,TY00352,pcs,17,4.615384615,Tomato Paste
Full Chicken Box Big,TY00303,carton,380,340,Meat\Fish
Drumstick Carton,TY00304,box,320,270,Meat\Fish
Frangosul,TY00306,pcs,14,0,Meat\Fish
Bella Olonka,TY00307,olonka,40,0,Rice
Kivo 210G,TY00308,sachet,6,5.2083,Tomato Paste
Paganini,TY00309,pcs,12,0,Spaghetti
Nana Sausage,TY00274,pcs,8,0,Meat\Fish
Drumstick  Carton 10kg Box,TY00292,10kg,330,0,Meat\Fish
Montaire Drumstick 1kg,TY00275,1kg,34,16.1038961,Meat\Fish
